2026-08-30T05:44:20Z saint-lazare ok | salidas=174 anden_real=2 | cuota_restante=933
2026-08-30T05:44:20Z gare-du-nord ok | salidas=174 anden_real=3 | cuota_restante=932
2026-08-30T05:45:21Z saint-lazare ok | salidas=174 anden_real=2 | cuota_restante=931
2026-08-30T05:46:21Z saint-lazare ok | salidas=174 anden_real=3 | cuota_restante=930
2026-08-30T05:46:21Z gare-du-nord ok | salidas=175 anden_real=5 | cuota_restante=929
2026-08-30T05:47:21Z saint-lazare ok | salidas=177 anden_real=4 | cuota_restante=928
2026-08-30T05:48:21Z saint-lazare ok | salidas=180 anden_real=3 | cuota_restante=927
2026-08-30T05:48:22Z gare-du-nord ok | salidas=176 anden_real=7 | cuota_restante=926
2026-08-30T05:49:22Z saint-lazare ok | salidas=179 anden_real=2 | cuota_restante=925
2026-08-30T05:50:22Z saint-lazare ok | salidas=181 anden_real=2 | cuota_restante=924
2026-08-30T05:50:22Z gare-du-nord ok | salidas=178 anden_real=6 | cuota_restante=923
2026-08-30T05:51:22Z saint-lazare ok | salidas=180 anden_real=1 | cuota_restante=922
2026-08-30T05:52:22Z saint-lazare ok | salidas=179 anden_real=2 | cuota_restante=921
2026-08-30T05:52:22Z gare-du-nord ok | salidas=177 anden_real=6 | cuota_restante=920
2026-08-30T05:53:23Z saint-lazare ok | salidas=180 anden_real=2 | cuota_restante=919
2026-08-30T05:54:23Z saint-lazare ok | salidas=181 anden_real=2 | cuota_restante=918
2026-08-30T05:54:24Z gare-du-nord ok | salidas=181 anden_real=7 | cuota_restante=917
2026-08-30T05:55:24Z saint-lazare ok | salidas=181 anden_real=2 | cuota_restante=916
2026-08-30T05:56:24Z saint-lazare ok | salidas=183 anden_real=3 | cuota_restante=915
2026-08-30T05:56:24Z gare-du-nord ok | salidas=180 anden_real=7 | cuota_restante=914
2026-08-30T05:57:24Z saint-lazare ok | salidas=185 anden_real=3 | cuota_restante=913
2026-08-30T05:58:24Z saint-lazare ok | salidas=187 anden_real=4 | cuota_restante=912
2026-08-30T05:58:25Z gare-du-nord ok | salidas=177 anden_real=5 | cuota_restante=911
2026-08-30T05:59:25Z saint-lazare ok | salidas=187 anden_real=4 | cuota_restante=910
2026-08-30T06:00:25Z saint-lazare ok | salidas=188 anden_real=4 | cuota_restante=909
2026-08-30T06:00:26Z gare-du-nord ok | salidas=177 anden_real=6 | cuota_restante=908
2026-08-30T06:01:26Z saint-lazare ok | salidas=190 anden_real=4 | cuota_restante=907
2026-08-30T06:02:26Z saint-lazare ok | salidas=189 anden_real=4 | cuota_restante=906
2026-08-30T06:02:27Z gare-du-nord ok | salidas=178 anden_real=7 | cuota_restante=905
2026-08-30T06:03:27Z saint-lazare ok | salidas=191 anden_real=4 | cuota_restante=904
2026-08-30T06:04:27Z saint-lazare ok | salidas=191 anden_real=4 | cuota_restante=903
2026-08-30T06:04:27Z gare-du-nord ok | salidas=179 anden_real=6 | cuota_restante=902
2026-08-30T06:05:27Z saint-lazare ok | salidas=190 anden_real=4 | cuota_restante=901
2026-08-30T06:06:27Z saint-lazare ok | salidas=189 anden_real=3 | cuota_restante=900
2026-08-30T06:06:29Z gare-du-nord ok | salidas=178 anden_real=4 | cuota_restante=899
2026-08-30T06:07:29Z saint-lazare ok | salidas=190 anden_real=4 | cuota_restante=898
2026-08-30T06:08:29Z saint-lazare ok | salidas=188 anden_real=4 | cuota_restante=897
